x,score,lower_bound,upper_bound
1.786,3.5559359162514985,3.3195238923549137,3.7923479401480833
1.8091666370602604,3.4076753587273023,3.1964873996683543,3.6188633177862504
1.878921806889696,3.255740346978876,3.0432223695022573,3.468258324455495
1.9280279314070845,3.0924029577713075,2.8727491843816892,3.3120567311609257
1.96604994458098,2.9243302890217477,2.716901696591792,3.1317588814517037
2.0106686764656745,2.8082919194905314,2.5733815382569087,3.043202300724154
2.0510679631719997,2.60313286290694,2.334431350990375,2.8718343748235053
2.1025847123824457,2.4390427167334945,2.170789366423853,2.707296067043136
2.1406906843185425,2.2199129023755346,1.9228675726483768,2.5169582321026924
2.1671526467852247,1.9703373102501207,1.678368683536962,2.2623059369632794
2.2035580928476657,1.7769986535283133,1.4838686695369712,2.0701286375196557
2.2264129729909277,1.5213122531894623,1.2551925874963188,1.7874319188826058
2.2572829833943633,1.3784654107019427,1.0844493914727176,1.6724814299311679
2.285832970001194,1.2089898221961137,0.9432699250248274,1.4747097193674001
2.3128260654186903,0.9782618955330425,0.7175768903329416,1.2389469007331435
2.3356174036529103,0.8461397788389685,0.5913843561459404,1.1008952015319966
2.3531089130057836,0.7759103032926943,0.5168535567209599,1.0349670498644286
2.39196515083313,0.5868890109235773,0.44441697281592396,0.7293610490312306
2.423549574092935,0.4706871006064723,0.329632631406356,0.6117415698065886
2.449269172801782,0.3932261376004763,0.25438858109628487,0.5320636941046677
2.4659092907776747,0.3025478418664606,0.17212719364654264,0.4329684900863786
2.4827158145675154,0.051440612778822725,-0.16269709669912516,0.2655783222567706
2.5010875346728634,-0.002195661254772883,-0.2395917408136328,0.23520041830408703
2.5236358497904465,-0.02833014459211517,-0.25942842712330116,0.2027681379390708
2.542274881755507,0.02161789714316579,-0.11213089034636162,0.15536668463269318
2.559723593944347,-0.01558425770641382,-0.14026064770849303,0.10909213229566539
2.5739322965117175,-0.030828151924093182,-0.1732628460893303,0.11160654224114391
2.5877313392083643,-0.06467033847452304,-0.21083523200614107,0.081494555057095
2.601410577058502,-0.0975800670304876,-0.2393590980184642,0.044198963957488985
2.627418625751571,-0.18780937762135114,-0.31839690068877397,-0.05722185455392831
2.6451297771471243,-0.30817306856611626,-0.4362535098571434,-0.18009262727508912
2.661480175824127,-0.3081345989107158,-0.40534584540810614,-0.2109233524133255
2.6713104248046875,-0.3463153986682108,-0.45073863762921607,-0.24189215970720557
2.690468907356262,-0.39395920130606793,-0.4843504195046914,-0.3035679831074445
2.704472064971924,-0.42377685730014547,-0.5100220857309536,-0.3375316288693373
2.723749447291911,-0.4579514019679107,-0.5475638439193756,-0.3683389600164458
2.7370034391933915,-0.49105140647664186,-0.5716461011808572,-0.4104567117724265
2.7493447818101364,-0.5025200120341804,-0.5918632190429244,-0.4131768050254364
2.770605672356191,-0.5212813325248591,-0.6112146948764876,-0.43134797017323057
2.7896876794520358,-0.567795748205807,-0.6530545378616801,-0.482536958549934
2.802547035116174,-0.5797283498910448,-0.6654561876518357,-0.4940005121302539
2.822163019932674,-0.534482541137501,-0.6615618263057813,-0.4074032559692208
2.8354133240078028,-0.5660473584418729,-0.6950886979175408,-0.4370060189662051
2.850467642984267,-0.7746287198162564,-0.9550953355701114,-0.5941621040624013
2.8666881270985627,-0.9461374431759336,-1.0843498933373645,-0.8079249930145027
2.8852546963101835,-0.989484357087136,-1.1201993838440325,-0.8587693303302395
2.8980921727046978,-1.1233252307740282,-1.2689094121266904,-0.9777410494213661
2.9170268056229496,-1.8368092223070869,-2.346215467677891,-1.3274029769362825
2.947490839719844,-2.730144476914481,-3.3342003431867826,-2.1260886106421792
2.969721553188731,-2.3914166494759397,-2.8886953734585674,-1.8941379254933122
2.997535995069554,-2.1840793259824336,-2.6832847516520038,-1.6848739003128634
3.033887337422698,-2.106884232947643,-2.4359314959979446,-1.7778369698973413
3.06752030631288,-2.104494061303318,-2.451014622159263,-1.7579735004473727
3.119214729694603,-2.1291753659640866,-2.4663599457519463,-1.791990786176227
3.174947798374595,-2.1003650919594885,-2.4313457512124605,-1.7693844327065165
3.261939906393725,-2.0921746350280244,-2.416830275870358,-1.7675189941856906
3.3613852021378827,-2.041260013704667,-2.3586431145079043,-1.7238769129014295
3.6122262573580377,-1.8252828813345148,-2.145713374380138,-1.5048523882888913
4.698255300521851,-1.6861128654575324,-2.0191256694113733,-1.3531000615036914
6.393767246067869,-1.4530552880877194,-1.7726782756109039,-1.133432300564535
6.791079487592278,-1.1382691338773814,-1.3901205755644968,-0.886417692190266
7.447015827754814,-1.0514126612192067,-1.2951249400515012,-0.8077003823869122
