x,score,lower_bound,upper_bound
2.0,1.2391890214925008,1.081932963225064,1.3964450797599375
2.5,0.24253816908620401,0.16418326362517066,0.32089307454723737
3.5,-0.10975100927847298,-0.17420039111779634,-0.0453016274391496
4.5,-0.2064403857608975,-0.28179712069055074,-0.13108365083124426
5.5,-0.10294324032573565,-0.1902555517230754,-0.015630928928395918
6.5,-0.2749526747742498,-0.35061936347969375,-0.19928598606880582
7.5,-0.5550670015162857,-0.6402461911377458,-0.46988781189482565
8.5,-0.6370999897019455,-0.7336025065247979,-0.5405974728790931
9.5,-0.7874651578940574,-1.0118024944742077,-0.563127821313907
10.5,-0.6567584213547567,-0.8952315776146416,-0.4182852650948718
11.5,-1.2533249104284374,-1.528735392603014,-0.9779144282538608
12.5,-1.303850463756811,-1.8563504922431076,-0.7513504352705144
13.5,-0.3141064367829009,-0.8197942994623089,0.191581425896507
14.5,0.6571873441692082,0.1512737394215259,1.1631009489168904
15.5,1.4633843916041054,1.0033649541063843,1.9234038291018265
16.5,1.9736144765304635,1.4333442639471201,2.513884689113807
