x,score,lower_bound,upper_bound
0.73,0.15780837051546193,-0.06344829561933046,0.3790650366502543
0.9259999999999999,-0.04148696651160734,-0.23893884684090672,0.15596491381769206
1.384,-0.2634426316535805,-0.45738778778054123,-0.0694974755266198
2.4895,-0.5580366071898101,-0.6804335448579404,-0.43563966952167976
3.5460000000000003,-0.5973279057015551,-0.7151634360259471,-0.47949237537716316
3.99,-0.5246103538026406,-0.6409933022982203,-0.40822740530706103
4.459,-0.46874020525219867,-0.5857572755935371,-0.3517231349108602
5.3465,-0.4091627218952249,-0.5358003553893573,-0.2825250884010924
5.894,-0.29759886303090183,-0.4092814601504123,-0.18591626591139138
6.143000000000001,-0.24038000129191306,-0.37562816302466395,-0.10513183955916217
6.332000000000001,-0.17980743177418562,-0.31255316675505945,-0.04706169679331179
6.4665,-0.09849907133245181,-0.22640722346551612,0.029409080800612497
6.807499999999999,0.007244157534108267,-0.12066761785110296,0.1351559329193195
7.053,0.1131241669058271,-0.019024910691069236,0.24527324450272345
7.2165,0.19846526576133455,0.06937840640379647,0.32755212511887266
7.3015,0.2899812490748197,0.13152397713864308,0.44843852101099635
7.3675,0.330957293366111,0.17458748696153203,0.48732709977069
7.5145,0.3792897037178855,0.23919456473736625,0.5193848426984048
7.5595,0.4692913229649278,0.30749768094885305,0.6310849649810026
7.6605,0.5263374500155376,0.3649168362778493,0.6877580637532258
7.725,0.5426885553012633,0.36639528101077457,0.7189818295917519
7.882,0.5208195903697725,0.35945095130065263,0.6821882294388925
7.966,0.4701784340948345,0.3240594495650273,0.6162974186246417
8.0165,0.40402233698048295,0.24950004155827762,0.5585446324026883
8.05,0.35541794753323447,0.2104248437267788,0.5004110513396901
8.077,0.3007457679578468,0.14292143289961637,0.45857010301607726
8.0945,0.28337073816656433,0.1107078052983469,0.45603367103478176
8.163499999999999,0.30293781717110424,0.15261952525505917,0.4532561090871493
8.2485,0.3164302295434623,0.17892497869902485,0.4539354803878997
8.3655,0.31287709108899825,0.180157786152408,0.44559639602558854
8.477,0.3172261258954231,0.19831087509126233,0.43614137669958386
8.538,0.36654931812082836,0.2498095272084318,0.4832891090332249
8.627500000000001,0.3903300540445343,0.25721636678858506,0.5234437413004835
8.738,0.48444470391315303,0.3677828365558998,0.6011065712704062
8.866,0.5676355702070197,0.45911424042943766,0.6761568999846018
8.9245,0.6242526666618179,0.5144835876864774,0.7340217456371584
9.0215,0.7028124491676048,0.6004149260698699,0.8052099722653396
9.1095,0.7460056021104039,0.6444347637555822,0.8475764404652256
9.18,0.785063646329585,0.6772664527708476,0.8928608398883224
9.3215,0.8163755203632471,0.6768291000064841,0.9559219407200101
9.4285,0.8246808968622462,0.6812225026436257,0.9681392910808667
9.478,0.8102463731999484,0.6468694929118463,0.9736232534880506
9.5955,0.795730811669553,0.6060768844821736,0.9853847388569323
9.7075,0.7496978691377121,0.5566508935439813,0.9427448447314428
9.7765,0.7603083519990989,0.5792267494836734,0.9413899545145243
9.968,0.7370273312819656,0.5821172082384305,0.8919374543255008
10.0495,0.6996925043653327,0.5313618739345115,0.8680231347961539
10.1415,0.6272189551056863,0.45787758844650256,0.79656032176487
10.218499999999999,0.567846425423582,0.39419578221661644,0.7414970686305475
10.2625,0.4489736675839045,0.26520189290047413,0.6327454422673349
10.362,0.3183977798446611,0.12487011419474084,0.5119254454945814
10.541,0.1683309684618785,-0.027347873495313257,0.36400981041907027
10.808,-0.036653135367957404,-0.2709875023372321,0.1976812316013173
11.851500000000001,-0.28626693799357983,-0.46349815149356177,-0.10903572449359789
15.5605,-0.5953386783818544,-0.7639918030221717,-0.426685553741537
16.686,-0.8506932340576022,-1.0387759148702544,-0.6626105532449501
18.6655,-1.0455773023620627,-1.2486376043070972,-0.8425170004170283
21.909999999999997,-1.2638374623697068,-1.5265769957338409,-1.0010979290055728
30.6525,-1.4570530553710181,-1.7326728253048458,-1.1814332854371905
35.0355,-1.6670944355423374,-2.0284270610023687,-1.305761810082306
53.6695,-1.8430692172900656,-2.267725431968516,-1.418413002611615
66.4795,-2.049984926431654,-2.4697334229606076,-1.6302364299027001
