x,score,lower_bound,upper_bound
1.786,3.7266113020217273,3.2096641845568477,4.243558419486607
1.87,3.634445457558126,3.1321952115435057,4.136695703572746
1.9195,3.4987068506722516,3.0110805855475222,3.986333115796981
1.939,3.355171866088505,2.8657564882037057,3.844587243973304
1.9585,3.225508676669522,2.7560169269635515,3.695000426375492
2.001,3.095788060953554,2.642266541878575,3.549309580028533
2.023,2.973424031715986,2.5529273410713893,3.3939207223605825
2.0505,2.8450601145827834,2.433932694693852,3.2561875344717146
2.088,2.650143823022809,2.2846025012649087,3.015685144780709
2.1325,2.473065456834092,2.139244297712945,2.806886615955239
2.167,2.2959588195306395,1.9872174504065863,2.604700188654693
2.232,2.143339620075277,1.8568761624260883,2.4298030777244657
2.2435,1.9547791712318119,1.6640977504183132,2.2454605920453106
2.2605,1.767626991697237,1.5007841878635895,2.0344697955308844
2.3434999999999997,1.5509188494764756,1.3176915537871285,1.7841461451658227
2.364,1.3562593863753611,1.1393167807511717,1.5732019919995506
2.3899999999999997,1.1135782729222008,0.9090743515657067,1.3180821942786949
2.4355,0.9559178318939638,0.7591561690941315,1.1526794946937962
2.475,0.8149496994460169,0.6290356462255071,1.0008637526665267
2.4825,0.6374266081457097,0.4550893591981574,0.819763857093262
2.489,0.47161958337897103,0.31932050972286075,0.6239186570350813
2.5324999999999998,0.32929505644336277,0.17075842768499783,0.4878316852017277
2.558,0.2097899982606584,0.038281247959250836,0.3812987485620659
2.5675,0.1404218981720373,-0.02659445291911247,0.3074382492631871
2.585,0.007169649102096613,-0.14834105501329095,0.16268035321748417
2.5955000000000004,-0.07408555451826657,-0.22535986119207235,0.07718875215553922
2.6045,-0.15698776356755229,-0.30045393256589764,-0.01352159456920693
2.6125,-0.23280354090654637,-0.3807287139933268,-0.08487836781976593
2.623,-0.34545533456532584,-0.49176129907215627,-0.19914937005849545
2.6334999999999997,-0.43817950139205003,-0.5949217225411502,-0.2814372802429499
2.6475,-0.5018024830530442,-0.6551642804882839,-0.3484406856178045
2.6574999999999998,-0.5699628904433169,-0.7219251250717141,-0.41800065581491974
2.668,-0.6655335961108997,-0.8338973246041772,-0.4971698676176221
2.6734999999999998,-0.7411067860990648,-0.9165633686120005,-0.565650203586129
2.6865,-0.8234234734510957,-1.017370871875976,-0.6294760750262155
2.6995,-0.9105257841566069,-1.1052406840329165,-0.7158108842802973
2.7325,-1.0140379040667626,-1.2350750195185787,-0.7930007886149466
2.747,-1.034799467702825,-1.2417404628305733,-0.8278584725750767
2.766,-1.0373930891571839,-1.23477511820669,-0.8400110601076778
2.774,-1.0607331420987147,-1.242668780618985,-0.8787975035784444
2.7824999999999998,-1.0764019372114086,-1.2626473045382185,-0.8901565698845989
2.7995,-1.1389422176269248,-1.329796751962358,-0.9480876832914917
2.8205,-1.1830710507952988,-1.3871469166589092,-0.9789951849316885
2.8525,-1.2527029283690174,-1.4628027048710865,-1.0426031518669483
2.8605,-1.3671872046644844,-1.6037938727995442,-1.1305805365294246
2.8689999999999998,-1.488485968664298,-1.7421179519371344,-1.2348539853914615
2.8825,-1.679001566956857,-1.9140767142652144,-1.4439264196484995
2.888,-1.8413139217819754,-2.1107780564739107,-1.57184978709004
2.899,-2.0148106466391806,-2.2977472662497385,-1.7318740270286228
2.932,-2.116331870458813,-2.4264763796216045,-1.8061873612960222
2.9459999999999997,-2.2089643805727155,-2.523179374486108,-1.8947493866593228
2.9795,-2.303233202428974,-2.6385963185683146,-1.9678700862896334
3.0404999999999998,-2.338234750623723,-2.6756020489768244,-2.000867452270622
3.061,-2.335677142081838,-2.6693446850601226,-2.002009599103553
3.0860000000000003,-2.331320558032812,-2.657343847137524,-2.0052972689280995
3.1275000000000004,-2.308506291711497,-2.624239865359901,-1.9927727180630934
3.186,-2.315133417995715,-2.6342056487069065,-1.9960611872845233
3.278,-2.3081752680237946,-2.610671520165478,-2.005679015882111
3.7295,-2.1369432672045425,-2.464715634086038,-1.8091709003230472
6.5615,-1.8376979470036574,-2.1152134603436794,-1.5601824336636354
6.929,-1.5689389207175573,-1.8522715851290685,-1.285606256306046
7.4605,-1.3179391165186338,-1.55291448844667,-1.0829637445905977
